Sample_ID,Diet,Net_pen,gapdh_Cq,gapdh_PE,rnapo2_Cq,rnapo2_PE,hprt1_Cq,hprt1_PE,actb_Cq,actb_PE,Target,Target_PE,Target_Cq,Target_Cq_error,Target_func,Comments
50,IM,105,18.34,1.90 ,24.11,1.80 ,22.5,2.00 ,14.81,1.86,pcyt1a,2.09,24.4,0.05,lipid_metabolism,
51,IM,105,18.24,1.90 ,24.02,1.80 ,22.29,2.00 ,15.02,1.86,pcyt1a,2.09,24.38,0.04,lipid_metabolism,
52,IM,105,18.18,1.90 ,23.91,1.80 ,21.88,2.00 ,14.89,1.86,pcyt1a,2.09,23.77,0.11,lipid_metabolism,
53,IM,105,17.79,1.90 ,23.77,1.80 ,22.16,2.00 ,14.45,1.86,pcyt1a,2.09,24.02,0.03,lipid_metabolism,
54,IM,105,18.12,1.90 ,23.87,1.80 ,22.28,2.00 ,14.75,1.86,pcyt1a,2.09,24.02,0.06,lipid_metabolism,
55,REF,106,17.86,1.90 ,23.74,1.80 ,22.11,2.00 ,14.4,1.86,pcyt1a,2.09,23.76,0.06,lipid_metabolism,
56,REF,106,18.05,1.90 ,24.06,1.80 ,22.38,2.00 ,14.65,1.86,pcyt1a,2.09,23.84,0.01,lipid_metabolism,
57,REF,106,17.79,1.90 ,24.04,1.80 ,22.11,2.00 ,14.69,1.86,pcyt1a,2.09,23.95,0.09,lipid_metabolism,
58,REF,106,18.08,1.90 ,23.76,1.80 ,22.18,2.00 ,14.63,1.86,pcyt1a,2.09,24.21,0.04,lipid_metabolism,
59,REF,106,17.9,1.90 ,23.81,1.80 ,22.13,2.00 ,14.48,1.86,pcyt1a,2.09,23.84,0.01,lipid_metabolism,
60,REF,106,17.87,1.90 ,24.17,1.80 ,22.60,2.00 ,14.65,1.86,pcyt1a,2.09,23.88,0.07,lipid_metabolism,
7,IM,110,18.73,1.90 ,24.68,1.80 ,23.11,2.00 ,15.32,1.86,fabp2b,2.00 ,19.32,0.03,lipid_metabolism,
8,IM,110,18.22,1.90 ,23.58,1.80 ,21.72,2.00 ,14.65,1.86,fabp2b,2.00 ,18.93,0,lipid_metabolism,
9,IM,110,18.26,1.90 ,24.2,1.80 ,22.45,2.00 ,14.98,1.86,fabp2b,2.00 ,18.89,0.01,lipid_metabolism,
10,IM,110,18.12,1.90 ,23.58,1.80 ,21.59,2.00 ,14.43,1.86,fabp2b,2.00 ,18.84,0.08,lipid_metabolism,
11,IM,110,18.24,1.90 ,24.13,1.80 ,22.18,2.00 ,14.85,1.86,fabp2b,2.00 ,19.71,0.04,lipid_metabolism,
12,IM,110,18.07,1.90 ,23.81,1.80 ,21.94,2.00 ,14.75,1.86,fabp2b,2.00 ,19.45,0.01,lipid_metabolism,
13,REF,111,18.24,1.90 ,23.91,1.80 ,22.08,2.00 ,14.9,1.86,fabp2b,2.00 ,19.79,0.04,lipid_metabolism,
14,REF,111,18.14,1.90 ,23.75,1.80 ,22.13,2.00 ,14.74,1.86,fabp2b,2.00 ,19.46,0.03,lipid_metabolism,
15,REF,111,18.29,1.90 ,24.02,1.80 ,22.19,2.00 ,15.09,1.86,fabp2b,2.00 ,19.54,0.02,lipid_metabolism,
16,REF,111,18.07,1.90 ,24.14,1.80 ,22.49,2.00 ,14.8,1.86,fabp2b,2.00 ,19.53,0.06,lipid_metabolism,
17,REF,111,18.25,1.90 ,24.25,1.80 ,22.37,2.00 ,14.92,1.86,fabp2b,2.00 ,19.18,0.05,lipid_metabolism,
18,REF,111,18.45,1.90 ,24.13,1.80 ,22.64,2.00 ,15,1.86,fabp2b,2.00 ,19.45,0.01,lipid_metabolism,
25,REF,101,18.44,1.90 ,24.06,1.80 ,22.43,2.00 ,14.94,1.86,fabp2b,2.00 ,19.04,0.02,lipid_metabolism,
26,REF,101,18.01,1.90 ,23.66,1.80 ,21.64,2.00 ,14.45,1.86,fabp2b,2.00 ,19.32,0.02,lipid_metabolism,
27,REF,101,18.13,1.90 ,23.82,1.80 ,22,2.00 ,14.79,1.86,fabp2b,2.00 ,18.83,0.03,lipid_metabolism,
28,REF,101,17.98,1.90 ,23.89,1.80 ,22.22,2.00 ,14.7,1.86,fabp2b,2.00 ,19.03,0.08,lipid_metabolism,
29,REF,101,17.97,1.90 ,23.9,1.80 ,22.14,2.00 ,14.57,1.86,fabp2b,2.00 ,19.05,0.03,lipid_metabolism,
30,REF,101,17.9,1.90 ,23.92,1.80 ,22.4,2.00 ,14.5,1.86,fabp2b,2.00 ,18.42,0,lipid_metabolism,
43,IM,104,18.2,1.90 ,24.09,1.80 ,22.47,2.00 ,14.88,1.86,fabp2b,2.00 ,18.88,0.09,lipid_metabolism,
44,IM,104,18.19,1.90 ,23.73,1.80 ,21.86,2.00 ,14.75,1.86,fabp2b,2.00 ,19.19,0.01,lipid_metabolism,
45,IM,104,17.79,1.90 ,23.77,1.80 ,22.37,2.00 ,14.59,1.86,fabp2b,2.00 ,18.22,0.04,lipid_metabolism,
46,IM,104,17.92,1.90 ,23.91,1.80 ,21.95,2.00 ,14.51,1.86,fabp2b,2.00 ,19.15,0.04,lipid_metabolism,
